class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
niujincao	0.357136	0.372741	0.526308						
tianxuanhua	0.728223	0.811467	0.842742						
background	0.989844	0.996090	0.994896	0.978083	0.689254	0.773498	0.796253	2304	11
abuth	0.904205	0.968675	0.949693						
canger	0.732194	0.933128	0.845395						
cotton	0.581269	0.771143	0.735193						
longkui	0.823579	0.925839	0.903256						
machixian	0.400722	0.407098	0.572165						
niujincao	0.363243	0.379945	0.532910						
tianxuanhua	0.718975	0.806065	0.836516						
background	0.989963	0.995900	0.994956	0.978672	0.698403	0.781839	0.804804	2336	11
abuth	0.905697	0.970189	0.950515						
canger	0.735810	0.936559	0.847800						
cotton	0.590620	0.767178	0.742629						
longkui	0.824648	0.926903	0.903898						
machixian	0.445790	0.455883	0.616673						
niujincao	0.373704	0.392715	0.544083						
tianxuanhua	0.720993	0.809387	0.837880						
background	0.989964	0.996078	0.994957	0.978824	0.701640	0.783706	0.807742	2368	11
abuth	0.906028	0.967299	0.950697						
canger	0.737386	0.938982	0.848845						
cotton	0.593594	0.771519	0.744975						
longkui	0.826088	0.918467	0.904762						
machixian	0.450116	0.459360	0.620800						
niujincao	0.386075	0.407408	0.557077						
